info,title,link,desc
"
        
  
  聂峻 / 北京联合出版公司·后浪出版公司 / 2016-10 / 68.00元

      ","

    老街的童话


    

  ",https://book.douban.com/subject/26883964/,"全水彩手绘下的老北京
温情感人的老街的童话
...................
※编辑推荐※
★ 著名漫画家聂峻笔下的水彩老北京，明快的色彩、轻松的线条... "

"
        
  
  大場鶇、小畑健 / 陈欣智 / 文化傳信 / 2004年 / HKD 30

      ","

    死亡筆記 1


    
      ",https://book.douban.com/subject/2064977/,"在這筆記裡被寫上名字的人類會死亡。
死神流克在人類世界丟下這本筆記「Death Note」。從此之後，兩位被選中的人「夜神月」和「L」便展開壯烈的戰鬥！
這... "

"
        
  
  [法]埃曼努埃尔·吉贝尔、Emmanuel Guibert / 崔书凝 / 北京联合出版公司·后浪出版公司 / 2016-6 / 49.80元

      ","

    阿兰的童年


    

  ",https://book.douban.com/subject/26807920/,"《阿兰的童年》是《阿兰的战争》的姊妹篇、前传
动人的回忆 / 诗意的讲述 / 精美的水墨画
...................
※编辑推荐※
耄耋之年的... "

"
        
  
  [日] 安倍夜郎 / 陈颖 / 湖南文艺出版社 / 2013-1 / 25.00元

      ","

    深夜食堂 02


    

  ",https://book.douban.com/subject/20470916/,"每个忙碌的都市人都渴望有这样的地方：填饱饥饿的胃，温暖疲惫的心。
日本、台湾地区、韩国千万读者口碑相传
最温情、治愈的都市美食故事
第55回小学馆漫画奖、第... "

"
        
  
  [法] 克里斯坦 编剧、[法] 梅齐埃 绘画 / 邱雨 / 后浪丨北京联合出版公司 / 2017-3 / 88.00元

      ","

    星际特工1


    

  ",https://book.douban.com/subject/26939959/,"吕克•贝松影片《星际特工：千星之城》原作漫画
堪称科幻史上的丰碑，影响了数代读者的宇宙观
..................
※编辑推荐※
☆根据《星际特... "

"
        
  
  朱德庸 / 现代出版社 / 2011-5 / 36.00元

      ","

    大家都有病


    

  ",https://book.douban.com/subject/6114393/,"★这是一个有病的社会，这是一个有病的时代。
★自杀三兄弟每天喊着要自杀，最后无论怎样都死不成。焦虑二人组是一对夫妻，每天有操烦不完的事。OK绷人全身几乎都贴... "

"
        
  
  猫小乐 / 云南教育出版社 / 2007-1 / 10.00元

      ","

    阿衰on line之一


    

  ",https://book.douban.com/subject/1103990/,《阿衰on line》中的阿衰是一个初中二年级学生。长相不帅，身材不高。普普通通并不优秀，生活邋遢，爱吃臭豆腐。性格时而自卑，时而自大，对一切新鲜事情都感兴... 

"
        
  
  [日] 安倍夜郎 / 陈颖 / 湖南文艺出版社 / 2013-1 / 25.00元

      ","

    深夜食堂 03


    

  ",https://book.douban.com/subject/20470913/,"一道道平凡的家庭料理，一个个温情的生活故事，总让人看得热泪盈眶。
日本、台湾地区、韩国千万读者口碑相传
最温情、治愈的都市美食故事
第55回小学馆漫画奖、第... "

"
        
  
  松本大洋、永福一成 (作) / 小学館 / 2006-12-15 / 900円 (税込)

      ","

    竹光侍 1


    
      ",https://book.douban.com/subject/2209776/,江戸のかたぎ長屋に住みついた浪人、瀬能宗一郎。剣の腕は立つが素頓狂。何を起こすか、起こさぬか…!?　盟友・永福一成の原作を得て、松本大洋が新たなスタイルで江... 

"
        
  
  浦沢直樹 / 磊正傑 / 東立 / 2000 年 / NT$90

      ","

    20世紀少年01


    
      ",https://book.douban.com/subject/1459623/,"官方网站：

http://www.spi-net.jp/20century/20century.html "

"
        
  
  [法] 让-克劳德·弗洛克 / 周克希 / 北京联合出版公司·后浪出版公司 / 2016-7 / 60.00元

      ","

    生活三部曲：生活的样子


    

  ",https://book.douban.com/subject/26825522/,"不可错过的当代插画家弗洛克温情之作
风行欧洲的“清晰线条”画风
简单却耐人寻味的生活哲思
...................
※编辑推荐※
☆ 简单、明... "

